Sample,Raw Total Sequences,Reads Mapped,MapQ 30,Reads Unmapped,Reads Duplicated,Reads MQ0,Average Length,Maximum Length,Average Quality,Insert Size Average,Insert Size Std Dev,Percentage Properly Paired,Mean Insert Size,Std Insert Size,Median Insert Size,Mean Mapping Quality,Mean Coverage,Std Coverage,Coverage 1X,Coverage 5X,Coverage 10X,Coverage >15X
U64,105585124,105545435,94181527,39689,8653944,8313569,145,150,39.3,294.2,16.4,97.3,"33,377.0468","1,515,088.8167",295,56.6823,6.4202X,40.9796X,96.11,59.62,15.53,2.2
PP30-2002,116593012,116582933,104329449,10079,8271494,9136289,145,150,39.3,278.4,23.7,96.2,"27,707.3401","1,374,052.1605",282,56.7335,7.1008X,43.6612X,97.14,65.63,20.48,3.68
A1986-05229,196334568,196323656,182199434,10912,25280256,11271067,137,150,36.1,239.3,117.1,97.9,"47,859.4824","1,879,421.1247",223,57.1349,11.2566X,34.7699X,99.39,90.69,56.35,20.8
21206,259820836,259577950,221548322,242886,29756784,31729861,130,150,36.2,181.9,86.3,98.3,"31,016.8498","1,505,613.8919",169,55.7761,14.0891X,58.7962X,99.51,91.55,63.11,32.79
161,73698186,73690744,66023584,7442,7314213,5641126,136,150,38.0,340.6,105.0,95.0,"112,620.8053","2,832,951.9361",338,56.6683,4.1788X,14.4559X,94.19,35.08,2.9,0.41
9560,71703310,71698704,64182266,4606,8923432,5212808,142,150,38.9,291.6,88.3,97.9,"32,362.051","1,484,194.1309",277,56.0725,4.2147X,19.9556X,86.29,34.13,7.36,1.6
C2004-5009,479594680,479462566,438123619,132114,48858796,33282408,141,150,36.3,212.7,83.6,98.6,"27,280.6824","1,423,664.0731",197,56.8496,28.4056X,79.7084X,99.77,99.12,96.15,88.41
RIM156,100603972,100598031,90880147,5941,7429071,7116579,145,150,39.3,270.2,17.4,97.6,"27,849.8147","1,386,781.2149",271,56.7299,6.1337X,34.1152X,95.87,57.79,14.54,2.16
983,107741060,107726208,94532467,14852,7414088,9218201,145,150,39.2,260.0,63.9,97.7,"36,879.151","1,581,124.2742",252,56.0592,6.4329X,46.4288X,95.96,58.29,14.77,2.54
26609,68929572,68923894,61703774,5678,8317753,5385038,142,150,38.9,285.7,81.3,98.6,"18,273.2389","1,115,491.8326",274,56.7729,4.0576X,16.02X,86.45,32.35,6.32,1.29
97-034,163526098,163516411,146212407,9687,15405693,13993979,137,150,36.1,227.8,113.0,97.4,"57,889.7494","2,076,854.5117",210,56.6966,9.2916X,33.6859X,99.29,83.72,37.07,8.75
5092,927259298,927202442,823074261,56856,95731880,85134585,139,150,36.3,198.8,78.7,98.8,"18,393.2271","1,159,804.7449",186,56.5228,54.0292X,208.3582X,99.86,99.67,99.16,97.73
B23-15,255615382,255548310,230265990,67072,36188084,20545835,136,150,36.1,211.8,99.6,98.8,"22,224.2786","1,276,759.5478",192,56.8008,14.6133X,43.3437X,99.68,96.07,74.31,39.66
7859,78143112,78137489,70561815,5623,8480508,5404573,142,150,38.9,271.0,78.9,96.9,"47,810.9013","1,799,734.1223",259,56.0023,4.539X,17.5726X,85.27,37.13,10.29,2.76
3767,64459586,64261769,54906197,197817,6519797,6562189,142,150,38.8,390.8,1071.3,75.0,"706,374.1949","7,129,803.7034",232,55.1455,3.625X,15.8509X,88.2,26.78,2.83,0.48
981,122900676,122886542,100784537,14134,8290617,15690649,144,150,39.1,245.3,65.1,97.4,"39,667.3157","1,625,573.0719",238,55.0444,7.3036X,92.2092X,95.89,60.34,18.46,4.17
